context,endings,response_raw,predicted_index,true_label,correct
A man is sitting on a roof. he,"['is using wrap to wrap a pair of skis.', 'is ripping level tiles off.', ""is holding a rubik's cube."", 'starts pulling up roofing on a roof.']",2,2.0,3,False
A lady walks to a barbell. She bends down and grabs the pole. the lady,"['swings and lands in her arms.', 'pulls the barbell forward.', 'pulls a rope attached to the barbell.', 'stands and lifts the weight over her head.']",2,2.0,3,False
"Two women in a child are shown in a canoe while a man pulls the canoe while standing in the water, with other individuals visible in the background. the child and a different man","['are then shown paddling down a river in a boat while a woman talks.', 'are driving the canoe, they go down the river flowing side to side.', 'sit in a canoe while the man paddles.', 'walking go down the rapids, while the man in his helicopter almost falls and goes out of canoehood.']",2,2.0,2,True
A boy is running down a track. the boy,"['runs into a car.', 'gets in a mat.', 'lifts his body above the height of a pole.', 'stands on his hands and springs.']",2,2.0,2,True
The boy lifts his body above the height of a pole. The boy lands on his back on to a red mat. the boy,"['turns his body around on the mat.', 'gets up from the mat.', 'continues to lift his body over the pole.', 'wiggles out of the mat.']",2,2.0,1,False
The boy lands on his back on to a red mat. The boy gets up from the mat. the boy,"['starts doing spins.', 'celebrates by clapping and flexing both arms.', 'is dancing on the mat.', 'does jump jacks on his stick.']",3,3.0,1,False
A man is standing in front of a camera. He starts playing a harmonica for the camera. he,"['begins to play the harmonica with his body while looking at the camera.', 'seems to be singing while playing the harmonica.', 'rocks back and forth to the music as he goes.', 'painted a fence in front of the camera.']",2,2.0,2,True
A cartoon animation video is shown with people wandering around and rockets being shot. two men,"['fight robots of evil and ends with a to be continued.', 'are then shown in closeups shooting a shot put.', 'push a child in a speedboat in the water.', ""look in the cameraman's eye and smile.""]",3,3.0,0,False
A man is holding a pocket knife while sitting on some rocks in the wilderness. then he,"['opens a can of oil put oil on the knife, and puts oil on a knife and press it through a can filled with oil then cuts several pieces from the sandwiches.', 'takes a small stone from the flowing river and smashes it on another stone.', 'uses the knife to shave his leg.', 'sand the rocks and tops them by using strong pressure.']",2,2.0,1,False
Then he takes a small stone from the flowing river and smashes it on another stone. He starts to crush the small stone to smaller pieces. he,"['cuts the center stone in half and blow it on to make it bigger.', 'grind it hard to make the pieces smaller.', 'eventually brings it back into view and adds it to the smaller ones to make a small triangular shaped piece.', 'starts to party with them and throw the pieces by hand while they celebrate.']",2,2.0,1,False
Then he takes a piece of bark and rubs the powered stone pieces onto it. The stone particles stick to the wet piece of wood. he,"['uses a small brush to polish one of the stone pieces.', 'then uses a strip of sealing tape to seal the board and then smooths the bottom of the board.', 'walks towards the camera.', 'then takes the knife and sharpens it against the wood piece.']",2,2.0,3,False
The stone particles stick to the wet piece of wood. He then takes the knife and sharpens it against the wood piece. he,"['then cuts off the excess hair of the wood.', 'scrapes the wood with a broom in the cutting tool used in sharpening the instrument.', 'writes on the board again.', 'then notices a little black and green poisonous frog sitting next to him.']",2,2.0,3,False
He then takes the knife and sharpens it against the wood piece. He then notices a little black and green poisonous frog sitting next to him. the frog,"['eventually gets to get up and marches out of the room waving its body about.', 'then starts to get up from the chair and begins walking towards the camera.', 'then escapes and jumps away.', 'is acting crazy and attacking him while he is cooking.']",3,3.0,2,False
He then notices a little black and green poisonous frog sitting next to him. The frog then escapes and jumps away. he,"['sits and hugs another man and also adjusts his camera.', 'then sits there staring at his text machine as if he has actually been given a gift from god.', 'explains how the frog secretes a poisonous fluid that can be extremely harmful.', 'takes the frog on his hand and tickles the back of it.']",3,3.0,2,False
A person is playing bagpipes out in a park. A man and two boys watching from a far. the camera,"['shoots areas all around the park while the bagpipes play.', 'is covered to the boy that is playing there.', 'then goes black and we see a black opening scene.', 'watching the boy and boy as they play a game of drums.']",3,3.0,0,False
Two people are seen passing a ball back and fourth in a pool and leads into one speaking to the camera. the man,"['dips the ball and walks back with the boy and pours detergent into a cup again.', 'then throws the ball into the pool and begins running around with a sail in his hand while a group of men watch.', 'then takes a drink having a conversation with another man and another man leads into him throwing balls in the water and laughing to the camera.', 'demonstrates how to properly throw the ball with his hands while still speaking to the camera.']",2,2.0,3,False
A woman is sitting at a table in a fast food restaurant while eating. She continually speaks to nobody as she eats. she,"['is then seen sitting alone as she eats a cold brown ice cream.', 'pauses in the process of eating to enjoy her food.', 'stands up and grabs her purse, continuing to talk and laugh as she leaves.', 'picks up another chocolate bar and chews it as she talks.']",2,2.0,2,True
A group of cheerleaders run onto a stage before a cheering audience. they,"['get into formation, then begin dancing and flipping as male cheerleaders join them.', 'perform a cheer routine before the girls, along with makeup artists, spread out and pose.', 'take turns jumping on each other like they are performing karate.', 'are then shown performing the type of cheerleading dance, using batons and pole vaults.']",3,3.0,0,False
"A group of cheerleaders run onto a stage before a cheering audience. They get into formation, then begin dancing and flipping as male cheerleaders join them. they all","['dance and flip on stage while hanging their hats on the sides.', 'continue dancing and flipping, doing hand springs.', 'dance together with flip up their sleeves.', 'perform their routines as the studio rashes to a halt with cheerleaders in the audience.']",3,3.0,1,False
"They get into formation, then begin dancing and flipping as male cheerleaders join them. They all continue dancing and flipping, doing hand springs. when they","[""are done, they shake hands and walk away, but cheers are heard all around as they're finished."", 'are finished, they jump up and down happily and walk off the stage, exhausted.', 'are done, a male cheerleader is crowned and an instant replay is shown.', 'come down from their workout, they all stop to bow and applaud, then they continue dancing.']",3,3.0,1,False
A woman is reading a newspaper nearby while he speaks to her and shows her something in his hand. The man sharpens his knives using an electric tool. he,"['sharpens and cuts something on a knife board using an electric tool.', 'then continues cutting his onion.', 'travels with his knife under the table and uses it also in his shoe.', 'then shows her a spare knife that he has also used on a knife sharpener and drills into a side of the table.']",2,2.0,1,False
A man is outside of a building. He is using commercial lawn mowing equipment. he,"['walks back and forth as he mows the grass.', 'is animated as he does the task.', 'relaxes, making sure his lawn is pristine.', 'runs from one side of the building to the other.']",2,2.0,0,False
Children bring desert out for their family member. the family,"['floats in a river.', 'member stands looking into a hut and then handing people photographs.', 'member cuts a piece of sunscreen.', 'enjoys eating the desert together.']",3,3.0,3,True
